stock1,stock2,correlation
aln,njv,0.90405207376455088
aln,mza,-0.91723837123622365
aln,ckx,0.90603461013584496
alo,canf,0.9089623796362718
alo,nby,-0.90284712887427898
alo,trxc,0.92349048481152707
alo,brg_d,0.90122759467573799
alo,esp,0.90677132464727761
alo,pcg_h,0.91955102140001366
alo,pzg,0.91751571384285624
alo,eman,0.91128028545456286
alo,nen,0.96284228808062711
alo,ggn_b,0.94562922977777386
alo,aumn,0.92260730643875277
alo,nnvc,0.91760018369914376
alo,imo,0.94242959373171487
alo,sga,0.95535204960342557
alo,fpp,0.93017897935203653
alo,lov,0.96517165252367021
alo,ngd,0.92370480923272447
alo,enlk,0.90989817680050045
alo,pcg_g,0.91215042039979266
alo,uuuu,0.92397037657813264
alo,reed,0.91453711593145259
alo,visi,0.93056037731542773
alo,glow,0.9101685012451769
alo,sach,-0.90707366897065789
alo,evo,0.9034235112856176
alo,wyy,0.9120236859795503
alo,bzm,0.93192754757452823
alo,cca,0.90996124322813221
alo,ckx,0.90961055422169712
alo,urg,0.9316574200199027
bvx,ptn,0.94144899859735032
bvx,imuc,0.91401001100548784
bvx,elmd,0.91128829511913378
bvx,pcg_h,0.90676851277332748
bvx,enlk,0.92926720845595701
bvx,igc,0.93883328207652528
bvx,pcg_c,0.93541036392130383
bvx,rwc,0.92759536177610002
bvx,srci,0.9393247318727671
bvx,reed,0.90085325393121618
bvx,sgy-ws,0.92929129299550428
bvx,glow,0.92626935567447688
bvx,wyy,0.93087447528441181
brg_c,nby,0.94304509322959884
brg_c,brg_d,-0.94011048122083329
brg_c,ior,0.91271501167281421
brg_c,prk,0.90691732247695156
brg_c,pcg_g,-0.93052032846134236
brg_c,jrjr,-0.90180842694178798
brg_c,msn,0.95928134230269946
brg_c,enx,-0.9151774302757818
brg_c,cmt,0.91225100984948249
pcg_h,uuuu,0.90642698573294189
pcg_h,ssn,0.90756405718106414
pcg_h,sga,0.92041944637507367
pcg_h,urg,0.92652102825519356
pcg_h,wyy,0.97047666744214423
pcg_h,sens,0.9364847981741391
brg_a,vfl,-0.97860950637487409
btx-ws,mmv,0.91409899313443255
btx-ws,ckx,0.91653321436629098
ngd,urg,0.91483324373110253
ngd,visi,0.91262816226674937
ngd,sga,0.90292028662682244
ngd,xpl,-0.90259688914751035
ngd,trxc,0.90760232749830805
aug,ead,-0.92765556585661846
aug,plm,0.9369706505617883
cvm-ws,dit,0.94452434048834077
ainc,pcg_a,-0.9361068534938457
ainc,cvm,0.91329103944951051
sens,wyy,0.90404790262161738
bfy,mpo,0.92700746863563865
pcg_a,tphs,-0.90451195863965583
pcg_a,vgz,-0.90266008233184392
mpo,msl,0.90553237931593999
mpo,ssy,0.94517435382988046
glow,ptn,0.92843998597612065
glow,pcg_h,0.93750050420470155
glow,sga,0.93763848420413509
glow,lov,0.91577734288665902
glow,nnvc,0.90595457830219561
glow,imo,0.91072393652201178
glow,igc,0.94767568222611143
glow,uuuu,0.91641835449120956
glow,reed,0.90473857655849965
glow,urg,0.90921549287470715
glow,wyy,0.93846836272009349
cmcl,ssy,0.90300371342272467
evm,mlss,0.92136127538451951
evm,mmv,0.94037601089319311
evm,syn,0.96830323858054057
evm,nbo,0.91858562165965807
evo,pcg_h,0.90199812303193738
evo,htm,0.9188313849399391
evo,nbo,0.91687159778442806
evo,njv,0.91860753135552531
evo,sga,0.90898502923946578
evo,lov,0.90766126446879369
evo,syn,0.94737028525892708
evo,mmv,0.93758227969472807
evo,visi,0.90749918569208721
