stock1,stock2,correlation
alo,nen,0.96284228808062711
alo,sga,0.95535204960342557
alo,lov,0.96517165252367021
brg_c,msn,0.95928134230269946
pcg_h,wyy,0.97047666744214423
brg_a,vfl,-0.97860950637487409
evm,syn,0.96830323858054057
nby,vfl,0.96245296493457455
nen,sga,0.95774361221428672
nen,uuuu,0.95287842742847551
nen,trxc,0.96234869729595451
nen,pzg,0.96831572704787405
dla,vfl,0.9560827691902134
irt,vnrx,0.9655871816328272
bgsf,mmv,0.95140834613451486
bgsf,blj,0.97220701279222932
canf,pcg_h,0.95019353248057004
canf,igc,0.95013978602044369
canf,wyy,0.95846465217520416
tgb,vfl,0.95888429031950906
msn,nby,0.95169028993439742
msn,pcg_g,-0.95524150951617226
teum,tmq,-0.96217449913297215
inuv,mpo,0.95200755149042471
bcv,eman,0.96764038934839114
sga,trxc,0.96198462500338111
fpp,reed,0.96836630988441474
fpp,pcg_g,0.95631851780742672
kiq,vfl,-0.98019383455344944
ior,jrjr,-0.96642817952160387
ior,tis,0.97294171908499172
brg_d,msn,-0.96457723961332387
brg_d,tmq,0.95929770282264981
nhc,vfl,0.95543070682115039
vfl,vnrx,0.95275470968722431
ggn_b,trxc,0.95358268970334914
aumn,lov,0.95223400989442342
nspr,tgb,0.95316707999781591
cet,reed,-0.95494320591539561
cet,enlk,-0.95247160713600609
cet,esp,-0.95051929752344977
cet,fpp,-0.96310044297767206
ams,esp,0.96267321579689258
ams,cet,-0.96014263717345227
cdor,trxc,-0.95300718190715328
tmq,trxc,0.95266489476174565
enlk,urg,0.96547476940969079
enlk,rwc,0.95324901894353797
esp,nby,-0.95040391345135378
esp,fpp,0.95984507895922044
gvp,vfl,-0.95404176300657517
mmv,sga,0.95016238747909854
jrjr,tis,-0.95383495959173958
acu,nen,-0.95608928365248258
elmd,enlk,0.97694702900468022
intt,tgb,0.95571429603383617
intt,nspr,0.95798875767407654
myo,prk,0.9591833152352911
myo,pcg_g,-0.95613060355518242
tis,vfl,0.95268595254051669
igc,pcg_h,0.97210541574415765
igc,wyy,0.96741987214731051
axu,urg,0.95906920733804457
ckx,evo,0.96496594032641736
